name,class,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13
photo_0.png,clase0,0.30376348,0.58553207,0.31322753,0.34313548,0.49038488,0.5970022,0.49244314,0.32651407,0.56030583,0.5166887,0.6141736,0.33382583,0.5867869,0.56102014,0.58747065,0.39764118
photo_1.png,clase0,0.3061785,0.58566785,0.31410918,0.34497726,0.49491912,0.63021356,0.49818462,0.3230325,0.5224726,0.52227193,0.61563504,0.33622605,0.60846704,0.5623406,0.6087278,0.40247414
photo_2.png,clase0,0.30578485,0.5817491,0.32006273,0.34528026,0.48716557,0.6341731,0.49278408,0.32631952,0.52605546,0.5400642,0.615284,0.3374755,0.6115967,0.5623375,0.61608386,0.40641934
photo_3.png,clase0,0.30533624,0.57863295,0.31530738,0.34622568,0.48702884,0.62762403,0.49256802,0.32731688,0.53887993,0.53233385,0.61657465,0.3368468,0.5903818,0.5617254,0.5963721,0.40600657
photo_4.png,clase0,0.3049599,0.5796034,0.31295258,0.34848818,0.48506218,0.6271805,0.49334806,0.32733396,0.5387281,0.53433484,0.6152605,0.33507627,0.5890943,0.56039554,0.5945746,0.40165907
photo_0.png,clase1,0.31637672,0.58878666,0.32247826,0.33894545,0.5026547,0.6006279,0.50252247,0.33458847,0.30654493,0.54632485,0.6173357,0.33803725,0.6401273,0.56000304,0.645302,0.40222526
photo_1.png,clase1,0.31783256,0.5864296,0.32421094,0.34018624,0.50314397,0.60697925,0.5047176,0.33431202,0.31581664,0.5506373,0.6159059,0.34223387,0.63965505,0.5590886,0.64444613,0.4013767
photo_2.png,clase1,0.32411987,0.5890337,0.32545066,0.34210968,0.5047215,0.61334777,0.50456303,0.33384657,0.31314144,0.5553565,0.61898136,0.34073424,0.63821673,0.55966645,0.6430601,0.40385816
photo_3.png,clase1,0.325888,0.59122103,0.3223179,0.3412257,0.5037784,0.6127374,0.5051669,0.33465037,0.31092465,0.5601557,0.61861855,0.33908105,0.6366111,0.55924106,0.64186096,0.4031415
photo_4.png,clase1,0.32222804,0.58616126,0.3211369,0.34017646,0.50311035,0.6120509,0.50099576,0.33327305,0.31457642,0.5586915,0.6197636,0.33754104,0.6347875,0.55674887,0.63949054,0.40133053
