name,class,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13
photo_0.png,clase0,0.36199042,0.5125159,0.35638314,0.2628757,0.5636021,0.5409566,0.5885123,0.257944,0.7506966,0.6048043,0.755185,0.24159364,0.71290797,0.4912648,0.71747124,0.33304667
photo_1.png,clase0,0.36107218,0.51196086,0.36198413,0.26194146,0.5645325,0.544168,0.5885707,0.25193423,0.75528544,0.59981126,0.7545221,0.23781624,0.7151202,0.4879753,0.7208883,0.3319885
photo_2.png,clase0,0.35673845,0.5123553,0.3643183,0.2669184,0.5546311,0.5420109,0.59137577,0.25283653,0.7490212,0.60028553,0.75740325,0.23944914,0.7139449,0.48737583,0.72226346,0.33157972
photo_3.png,clase0,0.36118782,0.5121994,0.3693903,0.26690957,0.55144024,0.5404347,0.5856656,0.25482136,0.73783416,0.59417707,0.75224227,0.23686883,0.7095875,0.4863685,0.7179277,0.33009568
photo_4.png,clase0,0.36419612,0.5137286,0.36906123,0.26647943,0.5598134,0.5407109,0.59034467,0.25698033,0.751116,0.60169274,0.7548717,0.23734418,0.7153093,0.48577058,0.72217107,0.3300102
photo_0.png,clase1,0.32766306,0.49445045,0.36613488,0.23634884,0.3523197,0.65126634,0.58524776,0.23672318,0.34877098,0.81013817,0.75930184,0.22681892,0.6951194,0.4929455,0.71017575,0.32754332
photo_1.png,clase1,0.329499,0.49648654,0.3723606,0.23338652,0.35268015,0.65513986,0.5868555,0.23741649,0.34878892,0.81340927,0.75862646,0.22927551,0.69659257,0.49266505,0.7126776,0.32926166
photo_2.png,clase1,0.32732835,0.4995056,0.36841965,0.23419115,0.35698122,0.66045403,0.58884037,0.23976907,0.35621548,0.81809044,0.7605052,0.22528487,0.699691,0.49861607,0.7149298,0.32943502
photo_3.png,clase1,0.32909817,0.5005221,0.36998826,0.24114951,0.35626924,0.6581928,0.58611333,0.24303177,0.35962993,0.81586325,0.7573782,0.2267927,0.69997114,0.4971864,0.71435714,0.3312688
photo_4.png,clase1,0.32877368,0.49914938,0.36703163,0.24162023,0.35830912,0.657926,0.5909147,0.24042754,0.3672281,0.8137853,0.76019514,0.23062575,0.7011956,0.49299282,0.71472704,0.32860947
